Location,Fuel Type,bt,km,Transmission,ownerNo,oem,model,modelYear,Displacement,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Location_encode,Fuel Type_encode,bt_encode,Transmission_encode,oem_encode,model_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Delhi,Petrol,Hatchback,70000,Manual,1,Maruti,Maruti Ritz,2013,1197,Comprehensive,4.0,Silver,4.0,K Series Petrol Engine,5,18.5,114.0,1.0647107369924282,85.8,2,4,2,1,19,152,2,108,260
Delhi,Petrol,Sedan,59863,Automatic,2,Maruti,Maruti Ciaz,2017,1373,Comprehensive,4.0,Black,4.0,k14B VVT Engine,5,19.12,130.0,1.7404661748405046,91.1,2,4,8,0,19,142,2,8,438
Delhi,CNG,Hatchback,18468,Manual,1,Maruti,Maruti Alto 800,2022,796,Zero Dep,3.0,Silver,4.0,F8D Petrol Engine,4,31.59,60.0,1.5933085305042167,40.36,2,0,2,1,19,135,6,108,222
Delhi,Petrol,Hatchback,42173,Manual,2,Ford,Ford Freestyle,2018,1194,Third Party,3.0,Silver,4.0,1.2 litre Petrol Engine,5,19.0,120.0,1.667706820558076,94.68,2,4,2,1,6,50,4,108,46
Delhi,Petrol,SUV,68631,Automatic,2,Ford,Ford Ecosport,2015,1496,Comprehensive,3.0,White,4.0,Ti-VCT Petrol Engine,5,14.7,149.0,1.536867219599265,120.69,2,4,7,0,6,45,2,129,360
Delhi,Petrol,Hatchback,18833,Manual,1,Maruti,Maruti Alto 800,2021,796,Zero Dep,3.0,Silver,4.0,F8D Petrol Engine,5,22.05,69.0,1.2556160374777743,47.33,2,4,2,1,19,135,6,108,222
Delhi,Petrol,Hatchback,55418,Manual,1,Maruti,Maruti Ignis,2021,1197,Third Party,4.0,Silver,4.0,VVT,5,20.89,113.0,1.6389967146756448,81.8,2,4,2,1,19,149,4,108,413
Delhi,Petrol,Hatchback,20000,Manual,1,Maruti,Maruti Wagon R,2013,998,Third Party insurance,3.0,Gray,4.0,K10B Petrol Engine,5,20.51,90.0,0.8109302162163288,67.04,2,4,2,1,19,161,5,53,266
Delhi,Petrol,Hatchback,25000,Manual,1,Renault,Renault KWID,2018,999,Comprehensive,3.0,Silver,4.0,Petrol Engine,5,23.01,91.0,1.2499017362143359,67.0,2,4,2,1,25,206,2,108,311
Delhi,Petrol,SUV,87576,Automatic,1,Jeep,Jeep Compass,2019,1368,Comprehensive,4.0,Silver,4.0,1.4-Litre 4-Cyl Multiair Engine,5,14.1,250.0,2.6282852326333477,160.77,2,4,7,0,11,92,2,108,62
Delhi,Petrol,Hatchback,58000,Manual,1,Honda,Honda Brio,2014,1198,Comprehensive,4.0,Silver,4.0,i-VTEC Engine,5,19.4,109.0,1.0647107369924282,86.8,2,4,2,1,7,54,2,108,435
Delhi,Petrol,MUV,75000,Manual,1,Datsun,Datsun GO Plus,2015,1198,Comprehensive,3.0,White,4.0,In Line Petrol Engine,7,19.44,104.0,1.0473189942805592,67.0,2,4,4,1,4,33,2,129,240
Delhi,Petrol,Sedan,69000,Automatic,1,Volkswagen,Volkswagen Vento,2013,1598,Comprehensive,4.0,White,4.0,In Line Petrol Engine,5,14.8,153.0,1.1939224684724346,105.0,2,4,8,0,29,265,2,129,240
Delhi,Diesel,SUV,20000,Manual,1,Mahindra,Mahindra Thar,2015,2498,Comprehensive,4.0,Black,4.0,NEF TCI-CRDe Engine,6,16.55,247.0,1.7029282555214393,105.0,2,1,7,1,16,126,2,8,305
Delhi,Petrol,Hatchback,45000,Manual,1,Maruti,Maruti Alto 800,2020,796,Comprehensive,3.0,White,4.0,F8D Petrol Engine,5,22.05,69.0,1.2947271675944,47.33,2,4,2,1,19,135,2,129,222
Delhi,CNG,Sedan,20000,Manual,1,Maruti,Maruti Swift Dzire Tour,2021,1197,Third Party insurance,4.0,White,4.0,VVT,5,26.55,95.0,1.8718021769015913,70.0,2,0,8,1,19,158,5,129,413
Delhi,Diesel,SUV,70000,Manual,1,Maruti,Maruti SX4 S Cross,2015,1248,Comprehensive,4.0,White,4.0,DDiS 200 Diesel Engine,5,23.65,200.0,1.501852701754163,88.5,2,1,7,1,19,155,2,129,191
Delhi,Petrol,Hatchback,72000,Automatic,1,Honda,Honda Jazz,2017,1199,Comprehensive,4.0,White,4.0,i-VTEC Petrol Engine,5,19.0,110.0,1.7900914121273581,88.7,2,4,2,0,7,59,2,129,436
Delhi,Diesel,SUV,7800,Automatic,0,MG,MG Gloster,2023,1996,Comprehensive,4.0,Grey,4.0,DIESEL 2.0L TWIN TURBO,6,12.04,478.5,3.8383764652598478,212.55,2,1,7,0,15,110,2,55,199
Delhi,Petrol,Hatchback,25000,Manual,1,Tata,Tata Tiago,2020,1199,Comprehensive,3.0,Silver,4.0,1.2 L Revotron,5,20.09,113.0,1.6074359097634274,84.82,2,4,2,1,27,238,2,108,34
Delhi,Petrol,Sedan,11332,Automatic,1,Skoda,Skoda Slavia,2022,999,Zero Dep,3.0,Others,4.0,1.0 L TSI Petrol,5,18.07,178.0,2.60859812213055,113.98,2,4,8,0,26,218,6,83,12
Delhi,Petrol,Hatchback,25456,Manual,1,Maruti,Maruti Baleno,2016,1197,Comprehensive,4.0,Blue,4.0,VVT Petrol Engine,5,21.4,115.0,1.7227665977411035,83.1,2,4,2,1,19,137,2,9,415
Delhi,Petrol,Hatchback,65000,Manual,2,Maruti,Maruti Wagon R,2013,998,Comprehensive,3.0,Grey,4.0,K10B Petrol Engine,5,21.79,90.0,1.0116009116784799,67.05,2,4,2,1,19,161,2,55,266
